timestamp,ax,ay,az,gx,gy,gz,Label1,Label2,Label3
1.72313E+12,-8275,509,-320,-656,555,-282,1,7,11
1.72313E+12,-8300,783,-355,-604,301,18,1,7,11
1.72313E+12,-8222,808,-143,-359,20,77,1,7,11
1.72313E+12,-7899,810,-160,94,-163,74,1,7,11
1.72313E+12,-7860,855,-205,295,-561,56,1,7,11
1.72313E+12,-7825,892,-517,150,-636,-265,1,7,11
1.72313E+12,-7829,656,-542,174,-421,-346,1,7,11
1.72313E+12,-7812,669,-554,146,-440,-157,1,7,11
1.72313E+12,-8063,885,-524,359,-424,-222,1,7,11
1.72313E+12,-7820,871,-524,374,-401,-516,1,7,11
1.72313E+12,-7825,849,-539,383,-618,-531,1,7,11
1.72313E+12,-7840,835,-550,365,-533,-536,1,7,11
1.72313E+12,-7868,808,-525,329,-166,-520,1,7,11
1.72313E+12,-7913,768,-234,311,-319,-242,1,7,11
1.72313E+12,-8197,483,-209,320,-257,-207,1,7,11
1.72313E+12,-8212,459,-191,333,46,-176,1,7,11
1.72313E+12,-8229,440,-190,359,76,-148,1,7,11
1.72313E+12,-8238,416,-195,377,98,-380,1,7,11
1.72313E+12,-8231,415,-207,144,113,-352,1,7,11
1.72313E+12,-8231,419,-223,144,-115,-324,1,7,11
1.72313E+12,-8210,396,-242,131,-100,-282,1,7,11
1.72313E+12,-7924,633,-254,134,-73,-260,1,7,11
1.72313E+12,-7915,385,-533,139,-44,-269,1,7,11
1.72313E+12,-7914,391,-546,130,-26,-278,1,7,11
1.72313E+12,-7914,393,-552,365,-18,-292,1,7,11
1.72313E+12,-7915,398,-571,341,-25,-302,1,7,11
1.72313E+12,-7913,397,-573,295,-40,-310,1,7,11
1.72313E+12,-7907,385,-579,259,-59,-310,1,7,11
1.72313E+12,-7896,624,-584,-26,-72,-311,1,7,11
1.72313E+12,-7895,606,-587,-40,-81,-310,1,7,11
1.72313E+12,-7892,600,-590,-46,-84,-310,1,7,11
1.72313E+12,-7903,602,-585,-65,-82,-319,1,7,11
1.72313E+12,-7925,588,-575,-87,-84,-324,1,7,11
1.72313E+12,-7925,585,-570,-98,-96,-325,1,7,11
1.72313E+12,-7928,569,-555,-107,-104,-326,1,7,11
1.72313E+12,-7929,557,-538,-105,-112,-322,1,7,11
1.72313E+12,-7927,549,-524,-89,-113,-320,1,7,11
1.72313E+12,-7926,542,-515,-45,-111,-316,1,7,11
1.72313E+12,-7925,552,-248,3,-114,-307,1,7,11
1.72313E+12,-7871,590,-531,318,-121,-278,1,7,11
1.72313E+12,-8022,634,-590,332,-75,-263,1,7,11
1.72313E+12,-7665,427,-396,262,322,-315,1,7,11
1.72313E+12,-7612,444,-418,96,542,-188,1,7,11
1.72313E+12,-7607,400,-410,-337,783,-594,1,7,11
1.72313E+12,-7620,605,-400,-198,767,-491,1,7,11
1.72313E+12,-7944,547,-631,-525,988,-888,1,7,11
1.72313E+12,-8036,233,-607,-543,1400,-731,1,7,11
1.72313E+12,-7890,178,-589,-251,1208,-1025,1,7,11
1.72313E+12,-8245,130,-592,-172,1178,-755,1,7,11
1.72313E+12,-8067,321,-607,-330,1324,-706,1,7,11
1.72313E+12,-8121,274,-625,77,904,-892,1,7,11
1.72313E+12,-8165,262,-404,-5,711,-811,1,7,11
1.72313E+12,-8188,256,-452,144,494,-448,1,7,11
1.72313E+12,-8179,256,-777,529,534,-578,1,7,11
1.72313E+12,-8138,270,-853,610,341,-193,1,7,11
1.72313E+12,-8077,261,-896,386,-54,-334,1,7,11
1.72313E+12,-8274,259,-704,388,118,9,1,7,11
1.72313E+12,-8227,261,-721,624,75,70,1,7,11
1.72313E+12,-7924,275,-735,590,57,120,1,7,11
1.72313E+12,-7877,280,-741,538,61,-105,1,7,11
1.72313E+12,-7848,282,-739,224,96,-81,1,7,11
1.72313E+12,-7830,277,-720,381,-122,-90,1,7,11
1.72313E+12,-7816,277,-704,334,-81,-100,1,7,11
1.72313E+12,-7823,297,-708,296,-37,-108,1,7,11
1.72313E+12,-7814,299,-709,-1,-9,-94,1,7,11
1.72313E+12,-8037,295,-712,-39,288,-80,1,7,11
1.72313E+12,-8024,290,-718,-78,349,-82,1,7,11
1.72313E+12,-8005,280,-709,-112,162,-103,1,7,11
1.72313E+12,-8004,271,-703,118,243,104,1,7,11
1.72313E+12,-8018,260,-689,96,582,32,1,7,11
1.72313E+12,-8062,257,-686,98,392,-295,1,7,11
1.72313E+12,-7935,-8,-686,97,621,-146,1,7,11
1.72313E+12,-8219,-9,-704,107,537,-142,1,7,11
1.72313E+12,-8230,-26,-722,114,176,-377,1,7,11
1.72313E+12,-8212,-46,-738,-119,323,-341,1,7,11
1.72313E+12,-8203,-60,-760,-83,-27,-302,1,7,11
1.72313E+12,-7925,-65,-1033,-47,-107,-263,1,7,11
1.72313E+12,-7902,-63,-1046,-19,92,27,1,7,11
1.72313E+12,-7883,-62,-1056,-1,42,63,1,7,11
1.72313E+12,-7855,-48,-1062,271,14,91,1,7,11
1.72313E+12,-7838,-36,-1084,264,3,104,1,7,11
1.72313E+12,-7820,-31,-1087,-24,6,111,1,7,11
1.72313E+12,-7818,-27,-1088,-64,26,101,1,7,11
1.72313E+12,-7813,-22,-1097,-107,46,88,1,7,11
1.72313E+12,-7817,-22,-1095,98,78,65,1,7,11
1.72313E+12,-7824,-23,-1074,42,108,44,1,7,11
1.72313E+12,-7840,-33,-1056,-266,-128,30,1,7,11
1.72313E+12,-7859,-38,-1033,-305,-120,21,1,7,11
1.72313E+12,-7866,-36,-1025,-331,-120,22,1,7,11
1.72313E+12,-7879,-52,-728,-352,118,27,1,7,11
1.72313E+12,-7880,-60,-708,-355,86,43,1,7,11
1.72313E+12,-7874,-66,-700,-339,53,64,1,7,11
1.72313E+12,-7877,-67,-692,-328,31,71,1,7,11
1.72313E+12,-7895,-64,-682,-305,13,74,1,7,11
1.72313E+12,-7899,-48,-682,-272,-266,71,1,7,11
1.72313E+12,-7900,-35,-677,5,-295,79,1,7,11
1.72313E+12,-7889,-24,-670,17,-319,82,1,7,11
1.72313E+12,-7878,-24,-674,18,-345,94,1,7,11
1.72313E+12,-7867,-21,-672,25,-345,92,1,7,11
1.72313E+12,-7878,-19,-670,21,-343,83,1,7,11
1.72313E+12,-7894,-8,-672,10,-349,73,1,7,11
1.72313E+12,-7916,260,-672,-281,-353,60,1,7,11
1.72313E+12,-7926,-9,-662,-312,-353,64,1,7,11
1.72313E+12,-7913,-26,-668,-323,-350,72,1,7,11
1.72313E+12,-7892,-48,-659,-323,-332,85,1,7,11
1.72313E+12,-7875,-50,-652,-327,-291,99,1,7,11
1.72313E+12,-7866,-47,-893,-343,15,122,1,7,11
1.72313E+12,-7845,-65,-877,-377,62,-108,1,7,11
1.72313E+12,-7838,-72,-870,-130,116,-87,1,7,11
1.72313E+12,-7835,-63,-860,-140,-84,-81,1,7,11
1.72313E+12,-7839,-51,-849,-159,-40,-81,1,7,11
1.72313E+12,-7848,-45,-847,-182,-5,-97,1,7,11
1.72313E+12,-7852,-37,-829,-200,263,-124,1,7,11
1.72313E+12,-7853,-35,-823,-194,-3,105,1,7,11
1.72313E+12,-7847,-28,-818,-181,-30,80,1,7,11
1.72313E+12,-7830,-30,-820,-157,-56,63,1,7,11
1.72313E+12,-7824,-21,-824,-378,-70,46,1,7,11
1.72313E+12,-7822,-14,-824,-350,-74,27,1,7,11
1.72313E+12,-7830,-3,-828,-323,-74,4,1,7,11
1.72313E+12,-7844,260,-832,-297,-77,-271,1,7,11
1.72313E+12,-7854,262,-834,-291,-78,-294,1,7,11
1.72313E+12,-7859,258,-844,-288,-75,-311,1,7,11
1.72313E+12,-7877,-5,-843,-298,-65,-324,1,7,11
1.72313E+12,-7886,-22,-845,-296,-61,-323,1,7,11
1.72313E+12,-7894,-25,-842,-285,-53,-314,1,7,11
1.72313E+12,-7907,-38,-840,-270,-42,-298,1,7,11
1.72313E+12,-7899,-40,-845,9,-40,-270,1,7,11
1.72313E+12,-7888,-31,-866,33,-40,32,1,7,11
1.72313E+12,-7858,-17,-644,60,-23,69,1,7,11
1.72313E+12,-7833,262,-673,46,278,96,1,7,11
1.72313E+12,-8038,283,-722,-265,341,108,1,7,11
1.72313E+12,-8006,296,-1028,-362,189,83,1,7,11
1.72313E+12,-8001,287,-1056,-242,579,35,1,7,11
1.72313E+12,-8026,258,-1054,-624,463,-283,1,7,11
1.72313E+12,-8059,-30,-1026,-443,806,-331,1,7,11
1.72313E+12,-7852,-85,-698,-482,837,-368,1,7,11
1.72313E+12,-7904,113,-878,-443,508,-137,1,7,11
1.72313E+12,-8220,89,-842,-593,634,-183,1,7,11
1.72313E+12,-8311,76,-801,-241,172,-250,1,7,11
1.72313E+12,-8146,68,-505,-139,-121,-542,1,7,11
1.72313E+12,-8161,56,-479,-288,-529,-536,1,7,11
1.72313E+12,-8320,55,-483,106,-687,-522,1,7,11
1.72313E+12,-8283,57,-470,279,-988,-560,1,7,11
1.72313E+12,-8247,-92,-822,608,-1212,-204,1,7,11
1.72313E+12,-7885,-13,-669,777,-1261,-271,1,7,11
1.72313E+12,-7821,-102,-654,800,-1363,-80,1,7,11
1.72313E+12,-8013,-109,-719,843,-916,301,1,7,11
1.72313E+12,-7964,-70,-752,478,-672,293,1,7,11
1.72313E+12,-7948,-43,-713,545,-618,-46,1,7,11
1.72313E+12,-8025,264,-702,377,-307,-123,1,7,11
1.72313E+12,-8064,-21,-666,-109,-66,102,1,7,11
1.72313E+12,-7841,-44,-866,-298,144,89,1,7,11
1.72313E+12,-7896,-114,-833,-189,565,72,1,7,11
1.72313E+12,-7892,51,-502,-575,415,64,1,7,11
1.72313E+12,-8238,48,-473,-614,517,42,1,7,11
1.72313E+12,-8283,58,-448,-600,483,55,1,7,11
1.72313E+12,-8319,48,-411,-574,629,91,1,7,11
1.72313E+12,-8312,33,-405,-195,201,-106,1,7,11
1.72313E+12,-8278,96,-476,-328,267,-54,1,7,11
1.72313E+12,-7923,116,-504,-295,-118,-21,1,7,11
1.72313E+12,-7893,-108,-797,-260,103,-43,1,7,11
1.72313E+12,-7840,-91,-814,18,65,-40,1,7,11
1.72313E+12,-7819,-63,-832,59,57,-42,1,7,11
1.72313E+12,-7824,-72,-782,68,42,-47,1,7,11
1.72313E+12,-7847,-93,-475,-115,-268,-67,1,7,11
1.72313E+12,-7874,-85,-478,261,-378,-97,1,7,11
1.72313E+12,-7868,-37,-784,324,-219,-119,1,7,11
1.72313E+12,-7888,-80,-455,264,-252,91,1,7,11
1.72313E+12,-7904,-99,-418,312,-572,40,1,7,11
1.72313E+12,-7910,-87,-416,171,-640,7,1,7,11
1.72313E+12,-7872,-54,-505,527,-388,29,1,7,11
1.72313E+12,-7850,-48,-803,204,-255,25,1,7,11
1.72313E+12,-7877,-12,-829,353,-330,30,1,7,11
1.72313E+12,-7923,-52,-771,-104,93,12,1,7,11
1.72313E+12,-8211,-90,-485,46,-69,26,1,7,11
1.72313E+12,-8231,-89,-486,-280,-12,25,1,7,11
1.72313E+12,-8236,-97,-474,-361,303,30,1,7,11
1.72313E+12,-8269,118,-466,-166,358,45,1,7,11
1.72313E+12,-8229,-104,-460,-212,372,91,1,7,11
1.72313E+12,-8251,109,-398,-244,141,119,1,7,11
1.72313E+12,-8241,-114,-405,-193,353,-98,1,7,11
1.72313E+12,-8195,-110,-388,-159,297,-61,1,7,11
1.72313E+12,-7910,-112,-398,-333,-3,-41,1,7,11
1.72313E+12,-7863,-85,-436,-269,-51,-29,1,7,11
1.72313E+12,-7840,-78,-470,10,-56,-56,1,7,11
