timestamp,ax,ay,az,gx,gy,gz,Label1,Label2,Label3
7.29E+02,-8377,-168,179,-1457,129,635,1,7,11
7.60E+02,-8705,-146,186,-1818,307,384,1,7,11
7.78E+02,-8787,-371,192,-1895,-65,634,1,7,11
7.84E+02,-8588,-329,195,-1699,40,625,1,7,11
7.83E+02,-8607,-305,204,-1778,-138,606,1,7,11
7.77E+02,-8599,-290,235,-2146,-592,539,1,7,11
7.68E+02,-8588,-282,524,-2032,-809,131,1,7,11
7.59E+02,-8831,-275,562,-2209,-1056,-119,1,7,11
7.53E+02,-8587,-272,598,-2688,-1331,-208,1,7,11
7.50E+02,-8593,-272,619,-2708,-1661,-864,1,7,11
7.53E+02,-8631,-261,627,-3044,-1783,-1358,1,7,11
7.59E+02,-8633,10,601,-3683,-2215,-1696,1,7,11
7.69E+02,-8639,-325,630,-4123,-2857,-2612,1,7,11
7.82E+02,-9006,-159,457,-4251,-2955,-3027,1,7,11
7.93E+02,-9079,-535,794,-4573,-3620,-3571,1,7,11
8.01E+02,-8854,-508,657,-5121,-3737,-3979,1,7,11
8.01E+02,-8882,-1025,1048,-5074,-4071,-4237,1,7,11
7.96E+02,-8985,-959,1121,-5417,-4662,-4348,1,7,11
7.91E+02,-8737,-1154,935,-5470,-4873,-4651,1,7,11
7.90E+02,-8338,-1458,1366,-5489,-4902,-4610,1,7,11
7.97E+02,-8147,-1727,1235,-5061,-4882,-4424,1,7,11
8.06E+02,-8237,-1935,1595,-4817,-4484,-4199,1,7,11
8.10E+02,-7815,-2353,1468,-4514,-4273,-3887,1,7,11
8.05E+02,-7658,-2196,1847,-4419,-4032,-3298,1,7,11
7.96E+02,-7746,-2245,1696,-3809,-3803,-2945,1,7,11
7.87E+02,-7341,-2287,2084,-3531,-3583,-2837,1,7,11
7.83E+02,-7137,-2595,1972,-3294,-3679,-2225,1,7,11
7.83E+02,-7238,-2659,2383,-3344,-3242,-1973,1,7,11
7.82E+02,-7189,-2500,2579,-3122,-3049,-2059,1,7,11
7.79E+02,-6835,-2867,2508,-2893,-3198,-1702,1,7,11
7.77E+02,-7013,-2763,2709,-2450,-3079,-1735,1,7,11
7.79E+02,-6939,-3200,3152,-2289,-2716,-2116,1,7,11
7.90E+02,-6576,-3423,3052,-2387,-2856,-2048,1,7,11
8.04E+02,-6703,-3649,3209,-1988,-2461,-2278,1,7,11
8.13E+02,-6392,-3864,3613,-2098,-2265,-2530,1,7,11
8.06E+02,-6396,-3807,3532,-1665,-2321,-2718,1,7,11
7.85E+02,-6381,-3989,3942,-1644,-2160,-2803,1,7,11
